ID,Domain,MFV,MFV-J,Back-translation (MFV-J)
Care1,Care (e),You see a teenage boy chuckling at an amputee he passes by while on the subway.,あなたは、地下鉄ですれ違った足の不自由な人を見てニヤニヤしている10代の男の子を見かけた。,You saw a teenage boy grinning at a lame person passing by on the subway.
Care2,Care (e),You see a girl laughing at another student forgetting her lines at a school play.,あなたは、学芸会の劇でセリフを忘れてしまった生徒をあざ笑っている女の子を見かけた。,You saw a girl laughing at a student who had forgotten the lines in a play at a school festival.
Care3,Care (e),You see a woman commenting out loud about how fat another woman looks in her jeans. ,あなたは、他の女性がジーンズを履いているのを見て「太って見える」と大声で話す女性を見かけた。,You saw a woman speaking to another woman loudly that wearing jeans would make her look fat.
Care4,Care (e),You see a man quickly canceling a blind date as soon as he sees the woman.,あなたは、ブラインドデート (知人の紹介で初めて知り合った相手とデートすること) で相手の女性を見た途端、すぐさま相手とのデートをキャンセルする男性を見かけた。,"On your first date with the lady you meet, you see a man who blew off his dating partner once he saw her face."
Care5,Care (e),You see a boy telling a woman that she looks just like her overweight bulldog.,あなたは、女性に対して、彼女の太りすぎのブルドッグに似ていると言っている男の子を見かけた。,You saw a boy telling a woman that she looked like her overweighting bulldog.
Care6,Care (e),You see a girl laughing when she realizes her friend's dad is the janitor.,あなたは、友達のお父さんが用務員であることを知ってあざ笑っている女の子を見かけた。,You saw a girl laughing at her friend's dad for the fact that he’s a janitor.
Care7,Care (e),You see a man snickering as he passes by a cancer patient with a bald head.,あなたは、すれ違った頭髪のない癌患者をせせら笑う男性を見かけた。,You saw a man laughing at a cancer patient with no hair passing by.
Care8,Care (e),You see a girl saying that another girl is too ugly to be a varsity cheerleader.,あなたは、他の女の子に対してチアリーダーになるには醜くすぎると言っている女の子を見かけた。,You saw a girl who said she’s too ugly to be a cheerleader when compared with other girls.
Care9,Care (e),You see a teenage girl openly staring at a disfigured woman as she walks past.,あなたは、顔が不自然に歪んでいる人を公然と凝視している10代の女の子を見かけた。,You saw a teenage girl openly staring at someone with an unnaturally distorted face.
Care10,Care (e),You see a boy making fun of his brother for getting dumped by his girlfriend.,あなたは、ガールフレンドに振られた兄弟をバカにしている男の子を見かけた。,You saw a boy teasing his friend who was dumped by his girlfriend.
Care11,Care (e),You see a man loudly telling his wife that the dinner she cooked tastes awful.,あなたは、妻が作った夕食が不味いと大声で言っている男性を見かけた。,You saw a man yelling at his wife for the unpleasant dinner she made.
Care12,Care (e),You see a man telling a woman that her painting looks like it was done by children.,あなたは、女性に対して、彼女の描いた絵はまるで子供が描いたようだと言っている男性を見かけた。,You saw a man telling a woman that her painting was like a child's.
Care13,Care (e),You see a woman clearly avoiding sitting next to an obese woman on the bus.,あなたは、肥満の女性の隣に座るのを明らかに避けている女性を見かけた。,You saw a woman who is obviously trying to get away from a heavyset woman.
Care14,Care (e),You see a girl telling a boy that his older brother is much more attractive than him.,あなたは、男の子に対して、彼のお兄ちゃんの方がずっと魅力的だと言っている女の子を見かけた。,You saw a girl telling a boy that his brother was much more attractive.
Care15,Care (e),You see a girl telling her classmate that she looks like she has gained weight.,あなたは、同級生に対して体重が増えたように見えると言ってる女の子を見かけた。,You saw a girl telling her classmates that he/she seemed gained weight.
Care16,Care (e),You see a man laughing at a disabled co-worker while at an office softball game.,あなたは、会社のソフトボール大会で障害のある同僚を笑っている男性を見かけた。,You saw a man laughing at his colleague with a disability at their company softball activity.
Care17,"Care (p, a)",You see a woman swerving her car in order to intentionally run over a squirrel.,あなたは、リスを轢（ひ）くためにわざと車のハンドルを切っている女性を見かけた。,You saw a woman turned the steering wheel so as to let her car run over a squirrel.
Care18,"Care (p, a)",You see a woman throwing her cat across the room for scratching the furniture.,あなたは、家具をひっかいた猫を、部屋の端へと放り投げている女性を見かけた。,You saw a woman throwing a cat that scratched her furniture to a corner of her room.
Care19,"Care (p, a)",You see someone leaving his dog outside in the rain after it dug in the trash.,あなたは、ゴミ箱をあさった犬を雨の降った部屋の外に置き去りにしている人を見かけた。,You saw a man putting a dog in the waste bin out of his house on a rainy day.
Care20,"Care (p, a)",You see a boy throwing rocks at cows that are grazing in the local pasture.,あなたは、地元の放牧地で草を食べている牛に石を投げている少年を見かけた。,You saw a boy throwing stones at a cow grazing on a local rangeland.
Care21,"Care (p, a)",You see a zoo trainer jabbing a dolphin to get it to entertain his customers.,あなたは、水族館のトレーナーが、客を楽しませるためにイルカを叩いているのを見かけた。,You saw a trainer in an aquarium beating a dolphin so as to entertain the visitors.
Care22,"Care (p, a)",You see a man lashing his pony with a whip for breaking loose from its pen.,あなたは、檻から逃げ出したポニーを鞭（ムチ）で打ちつけている男性を見かけた。,You saw a man whipping a pony that had escaped from a cage.
Care23,"Care (p, a)",You see a girl shooting geese repeatedly with a pellet gun out in the woods.,あなたは、森の中でガチョウを何度もエアガンで撃（う）っている女の子を見かけた。,You saw a girl shooting geese in the woods with an airsoft gun multiple times.
Care24,"Care (p, a)",You see a woman snatching away her dog's food for making a mess in the living room.,あなたは、リビングを散らかした犬から、ドッグフードを取り上げる女性を見かけた。,You saw a woman picking up some dog food scattered in her living room.
Care25,"Care (p, a)",You see a boy setting a series of traps to kill stray cats in his neighborhood.,あなたは、近所の野良猫を殺すために複数の罠を仕掛けている男の子を見かけた。,You saw a boy setting up traps to kill the stray cats in his neighborhood.
Care26,"Care (p, h)",You see a woman throwing a stapler at her colleague who is snoring during her talk. ,あなたは、話しているときにいびきをかいて寝ている同僚にホッチキスを投げつけている女性を見かけた。,You saw a woman throwing a stapler at her colleague dozing and snoring while she was talking.
Care27,"Care (p, h)",You see a girl throwing her hot coffee on a woman who is dating her ex-boyfriend.,あなたは、自分の元カレとデートしている相手に対してホットコーヒーを投げつけている女の子を見かけた。,You saw a girl spilling hot coffee at her ex-boyfriend.
Care28,"Care (p, h)",You see a boy placing a thumbtack sticking up on the chair of another student.,あなたは、他の生徒の椅子に画鋲を上に向けて置いている男の子を見かけた。,You saw a boy put a thumbtack with the pin up on another student's chair.
Care29,"Care (p, h)",You see a woman slapping another woman who she is arguing with in the parking lot. ,あなたは、駐車場で言い争いをしている相手の女性にビンタしている女性を見かけた。,You saw a woman slapping another woman during their quarrel at a parking lot.
Care30,"Care (p, h)",You see a teacher hitting a student's hand with a ruler for falling asleep in class.,あなたは、授業中に眠っている生徒の手を定規で叩いている先生を見かけた。,You saw a teacher knocked the head of a dozing student with a ruler during class.
Care31,"Care (p, h)",You see a woman spanking her child with a spatula for getting bad grades in school.,あなたは、学校で悪い成績を取った自分の子どもに対してお尻をヘラで叩いている女性をみた。,You saw a woman hitting her kid’s ass with a spatula for the bad grades at school.
