StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q8,MFQV_1_Ce,MFQV_2_Ce,MFQV_3_Ce,MFQV_4_Ce,MFQV_5_Ce,MFQV_6_Ce,MFQV_7_Ce,MFQV_8_Ce,MFQV_9_Ce,MFQV_10_Ce,MFQV_11_Ce,MFQV_12_Ce,MFQV_13_Ce,MFQV_14_Ce,MFQV_15_Ce,MFQV_16_Ce,MFQV_17_Cpa,MFQV_18_Cpa,MFQV_19_Cpa,MFQV_20_Cpa,MFQV_21_Cpa,MFQV_22_Cpa,MFQV_23_Cpa,MFQV_24_Cpa,MFQV_25_Cpa,MFQV_26_Cph,MFQV_27_Cph,MFQV_28_Cph,MFQV_29_Cph,MFQV_30_Cph,MFQV_31_Cph,MFQV_32_Cph,MFQV_33_F,MFQV_34_F,MFQV_35_F,MFQV_36_F,MFQV_37_F,MFQV_38_F,MFQV_39_F,MFQV_40_F,MFQV_41_F,MFQV_42_F,MFQV_43_F,MFQV_44_F,MFQV_45_F,MFQV_46_F,MFQV_47_F,MFQV_48_F,MFQV_49_F,MFQV_50_L,MFQV_51_L,MFQV_52_L,MFQV_53_L,MFQV_54_L,MFQV_55_L,MFQV_56_L,MFQV_57_L,MFQV_58_L,MFQV_59_L,MFQV_60_L,MFQV_61_L,MFQV_62_L,MFQV_63_L,MFQV_64_L,MFQV_65_L,MFQV_66_L,MFQV_67_A,MFQV_68_A,MFQV_69_A,MFQV_70_A,MFQV_71_A,MFQV_72_A,MFQV_73_A,MFQV_74_A,MFQV_75_A,MFQV_76_A,MFQV_77_A,MFQV_78_A,MFQV_79_A,MFQV_80_A,MFQV_81_A,MFQV_82_A,MFQV_83_A,MFQV_84_I,MFQV_85_I,MFQV_86_I,MFQV_87_I,MFQV_88_I,MFQV_89_I,MFQV_90_I,MFQV_91_I,MFQV_92_I,MFQV_93_I,MFQV_94_I,MFQV_95_I,MFQV_96_I,MFQV_97_I,MFQV_98_I,MFQV_99_I,MFQV_100_S,MFQV_101_S,MFQV_102_S,MFQV_103_S,MFQV_104_S,MFQV_105_S,MFQV_106_S,MFQV_107_S,MFQV_108_S,MFQV_109_S,MFQV_110_S,MFQV_111_S,MFQV_112_S,MFQV_113_S,MFQV_114_S,MFQV_115_S,MFQV_116_S,MFQR_1_C,MFQR_2_F,MFQR_3_I,MFQR_4_A,MFQR_5_P,MFQR_6_d,MFQR_7_C,MFQR_8_F,MFQR_9_I,MFQR_10_A,MFQR_11_P,MFQR_12_C,MFQR_13_F,MFQR_14_I,MFQR_15_A,MFQR_16_P,MFQJ_17_C,MFQJ_18_F,MFQJ_19_I,MFQJ_20_A,MFQJ_21_P,MFQJ_22_d,MFQJ_23_C,MFQJ_24_F,MFQJ_25_I,MFQJ_26_A,MFQJ_27_P,MFQJ_28_C,MFQJ_29_F,MFQJ_30_I,MFQJ_31_A,MFQJ_32_P,dum1,dum2,dum3,Politics_1,Politics_2,Politics_3,Politics_4,PolOrient,gender,gender_3_TEXT,Prefecture,age_1,Edu,Occup.,SES,Religion,Funeral,Funeral_8_TEXT,Q32,Q33,Q33_2_TEXT,SBS_1,SBS_2,SBS_3,SBS_4,SBS_5,SBS_6
2022/6/10 12:49,2022/6/10 12:58,100,499,1,2022/6/10 12:58,R_3DhCyxoxxX6FGYI,anonymous,JA,2,3,3,3,3,3,4,3,4,4,4,3,2,2,2,2,4,4,3,4,2,3,2,4,2,3,3,4,2,3,3,2,2,3,4,2,2,2,3,3,3,2,2,2,3,3,3,2,3,4,3,2,4,3,2,3,3,3,2,4,2,3,2,3,3,2,2,2,3,2,4,2,2,2,3,3,3,3,4,3,2,2,4,2,3,3,2,2,2,2,3,3,2,4,2,2,4,3,3,3,4,4,4,3,4,3,4,4,2,3,3,2,4,4,3,2,3,10,9,7,8,10,1,10,9,8,7,9,10,9,8,8,9,5,5,3,3,5,6,5,4,4,4,2,6,5,3,4,3,0,0,0,4,3,4,4,4,2,,27,35,4,2,4,なし,1,,1,1,,6,4,3,4,4,6
2022/6/10 12:50,2022/6/10 13:00,100,642,1,2022/6/10 13:00,R_2D7Wii5ycRQOjub,anonymous,JA,2,5,4,4,2,4,4,5,5,4,4,5,3,4,4,4,5,5,5,4,5,5,4,5,4,5,5,4,5,5,4,3,3,5,4,3,4,5,5,4,5,3,4,3,3,3,3,4,5,5,4,2,4,4,3,4,4,5,3,4,4,3,2,3,4,4,1,3,4,3,5,3,3,5,5,5,5,4,2,5,5,4,3,4,3,2,3,2,2,2,3,4,3,3,5,2,4,2,3,3,5,3,5,5,4,5,4,3,5,3,4,3,5,2,3,4,2,11,9,9,8,10,1,11,11,10,10,11,11,11,9,11,10,5,5,4,4,6,6,5,6,5,4,4,6,5,3,4,5,0,0,0,6,6,5,6,5,1,,14,44,4,3,1,なし,1,,1,1,,3,4,5,5,5,6
2022/6/10 12:48,2022/6/10 13:00,100,762,1,2022/6/10 13:00,R_ZD0FnaUpK6SL2q5,anonymous,JA,2,5,4,3,3,4,4,5,5,3,3,5,2,4,4,3,5,5,5,4,5,4,1,5,2,5,5,4,5,5,4,4,5,5,5,4,2,5,5,4,2,5,4,5,5,5,5,4,5,5,3,5,3,5,3,5,5,5,5,5,4,5,4,1,4,2,4,4,3,4,5,5,3,5,2,3,5,1,3,3,5,4,3,3,3,1,4,2,4,1,2,2,2,4,1,1,5,2,3,2,5,5,5,5,5,4,5,5,5,4,2,3,5,1,3,5,4,11,11,9,7,11,1,9,11,9,9,11,11,10,9,11,7,4,5,6,5,6,6,6,4,3,6,3,6,2,2,3,3,4,1,3,3,6,4,4,6,1,,11,45,4,3,3,なし,1,,1,1,,3,3,4,3,3,3
2022/6/10 12:58,2022/6/10 13:04,100,383,1,2022/6/10 13:04,R_2aFVi64qOzYq4Qk,anonymous,JA,2,4,3,2,3,3,3,3,3,3,2,2,3,4,2,4,2,4,2,4,2,3,2,3,4,3,3,3,2,2,4,2,4,3,3,2,2,3,2,4,3,4,3,2,4,3,4,3,4,5,3,3,4,4,4,4,3,4,3,2,3,4,2,2,3,4,3,2,3,2,4,3,3,4,4,2,3,4,2,4,3,4,4,3,4,4,4,5,2,4,2,4,3,4,3,4,2,2,3,3,3,4,2,4,4,4,4,3,3,2,4,3,4,3,4,2,4,8,8,9,8,9,9,9,9,8,8,8,9,10,7,9,9,4,3,4,2,2,4,4,2,3,4,3,4,3,3,4,4,0,0,0,5,4,4,2,4,2,,1,42,5,1,3,なし,6,,1,1,,2,3,2,3,3,2
2022/6/10 12:51,2022/6/10 13:08,100,1016,1,2022/6/10 13:08,R_1CmCZgylM16IhmC,anonymous,JA,2,4,4,4,2,3,5,5,3,3,2,4,2,3,1,2,5,5,4,4,4,3,4,4,3,5,2,2,5,2,2,4,2,3,4,3,3,3,4,3,3,4,3,2,4,3,4,3,4,3,3,1,3,3,3,3,4,3,3,4,3,4,2,2,4,3,2,3,3,4,3,3,3,3,4,2,3,2,2,4,5,3,2,2,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,2,3,5,1,3,2,1,5,1,1,3,3,2,1,2,2,10,8,8,7,9,1,8,10,8,7,10,10,9,9,10,7,5,4,4,3,4,5,6,5,4,4,3,4,2,4,3,4,0,0,0,4,4,5,5,6,2,,13,47,2,2,3,なし,1,,1,1,,2,3,4,3,3,6
2022/6/10 12:55,2022/6/10 13:08,100,811,1,2022/6/10 13:08,R_vxDXes9kWJCkQcF,anonymous,JA,2,3,3,3,2,3,4,3,3,3,3,3,3,2,2,3,3,4,3,3,3,3,2,5,2,5,3,3,5,2,4,4,3,3,3,3,3,3,4,3,3,4,3,3,4,3,4,3,4,5,4,4,4,4,4,4,4,4,3,3,3,4,3,2,4,3,4,3,3,3,3,3,3,3,4,3,3,2,2,3,3,3,3,3,2,2,3,4,3,2,3,3,3,2,2,3,4,1,4,2,2,4,4,3,2,3,3,2,4,2,2,2,4,1,3,2,3,10,11,7,7,9,1,10,11,8,8,8,11,11,7,9,8,5,6,2,3,3,6,6,5,2,3,2,6,5,2,3,4,0,0,0,6,6,2,1,6,2,,19,34,3,1,1,なし,1,,1,1,,2,2,2,2,2,6
2022/6/10 12:49,2022/6/10 13:08,100,1160,1,2022/6/10 13:08,R_2QFFpSNO1rDhns9,anonymous,JA,2,3,4,2,3,3,4,4,4,2,3,3,3,2,2,2,5,5,3,4,5,4,3,5,3,5,4,4,5,5,4,3,5,4,5,3,3,4,5,4,5,4,5,3,3,3,4,4,5,5,4,1,4,4,4,5,5,5,4,5,4,5,2,4,4,5,3,3,3,4,5,3,3,4,4,4,3,3,2,5,4,3,3,3,3,2,4,2,4,1,3,3,1,4,3,3,4,3,5,2,5,4,5,5,3,5,5,4,5,3,3,4,5,1,4,4,3,11,11,7,8,10,1,10,11,9,9,11,11,10,8,10,1,4,5,5,2,5,6,6,5,2,5,5,4,2,3,3,5,0,0,0,1,5,6,7,7,2,,44,38,4,3,3,なし,1,,1,1,,2,6,7,7,6,6
2022/6/10 12:49,2022/6/10 13:09,100,1170,1,2022/6/10 13:09,R_2CypWXfMuNtlSzY,anonymous,JA,2,4,4,4,1,4,4,4,4,4,3,4,4,3,4,3,4,5,5,5,5,5,5,5,4,5,3,3,5,3,5,5,4,3,3,3,3,3,4,3,3,2,3,4,4,3,3,3,4,5,3,4,4,4,3,4,4,4,4,4,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,2,2,2,2,2,1,2,3,2,2,2,2,2,1,5,2,2,3,4,4,3,4,2,2,3,3,2,4,3,1,3,3,3,10,8,1,7,7,1,9,9,7,7,8,9,10,7,9,1,3,4,3,4,5,5,6,4,3,4,2,2,4,3,3,3,0,0,0,2,3,4,3,5,1,,8,43,2,3,3,なし,1,,1,1,,2,3,4,2,3,5
2022/6/10 12:59,2022/6/10 13:09,100,582,1,2022/6/10 13:09,R_2ysgTMAMBpNrzRa,anonymous,JA,2,4,3,3,4,3,4,4,3,4,3,3,4,3,3,3,4,3,2,4,3,3,2,3,2,4,3,3,4,4,4,3,4,3,4,3,3,4,3,4,3,3,4,3,3,3,4,3,3,4,3,4,3,3,4,4,3,4,4,3,3,3,3,3,4,3,2,3,2,3,4,3,2,3,4,3,3,4,4,5,4,4,3,3,4,2,4,3,4,2,4,3,3,4,3,2,3,2,3,3,3,4,5,3,5,3,5,5,5,4,3,4,4,4,5,3,3,9,9,10,9,9,9,9,9,9,9,10,9,9,9,9,9,4,4,4,5,4,4,5,4,4,4,5,4,4,5,4,4,4,4,5,4,5,5,5,7,2,,13,48,4,1,3,なし,1,,1,1,,3,3,4,4,4,4
2022/6/10 12:54,2022/6/10 13:09,100,944,1,2022/6/10 13:09,R_3NDKQHjvLDpKHs9,anonymous,JA,2,5,5,4,2,5,5,5,5,3,4,4,4,1,4,4,5,5,3,3,5,5,4,5,1,5,5,4,5,3,4,3,4,5,5,5,4,5,5,5,5,5,3,5,5,5,5,4,5,5,3,1,5,3,3,5,4,3,2,4,5,3,1,2,5,3,2,4,3,5,5,1,4,5,4,2,3,5,2,5,4,4,1,5,3,5,5,3,5,2,5,5,1,4,4,1,5,2,5,3,5,4,5,5,5,5,5,4,5,5,3,4,5,2,3,5,5,11,11,11,10,10,1,11,11,10,10,11,11,10,10,10,10,6,6,6,5,6,6,6,6,1,6,3,5,6,1,6,5,0,0,0,3,3,3,3,7,1,,28,45,4,3,3,なし,1,,1,1,,1,1,1,1,1,7
